"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"1",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,8,8,1,5,1,3,3,8
"2",1,NA,2,3,4,5,6,7,8,5,3,8,2,1,5,1,3,8,8,1,5,1,3,3,8
"3",1,NA,2,3,4,5,6,7,8,5,3,8,2,1,5,1,3,8,8,1,5,1,3,3,8
"4",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,3,3,1,5,1,3,3,3
"5",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"6",1,NA,2,3,4,5,6,7,8,3,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"7",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"8",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"9",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"10",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"11",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"12",1,NA,2,3,4,5,6,7,8,2,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"13",1,NA,2,3,4,5,6,7,8,5,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"14",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"15",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
"16",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"17",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,2,3,8,8,2,5,5,3,3,8
"18",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"19",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"20",1,NA,2,3,4,5,6,7,8,2,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"21",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"22",1,NA,2,3,4,5,6,7,8,2,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"23",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"24",1,NA,2,3,4,5,6,7,8,1,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"25",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"26",1,NA,2,3,4,5,6,7,8,3,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"27",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,8,8,1,5,5,3,3,8
"28",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
"29",1,NA,2,3,4,5,6,7,8,6,3,8,2,7,5,7,3,2,2,7,5,5,3,3,2
"30",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
"31",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
"32",1,NA,2,3,4,5,6,7,8,4,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
"33",1,NA,2,3,4,5,6,7,8,3,3,8,2,1,5,1,3,2,2,1,5,5,3,3,2
